date,BAC,C,CNC,CSX,CVS,DAL,FIS,TFC,USB,WFC
20250220,45.3,81.34,58.48,32.46,65.09,63.75,69.85,46.65,46.76,78.63
20250221,44.81,79.65,57.68,32.3,63.48,60,69.85,45.66,45.87,77.5
20250224,44.46,78.54,58.93,31.81,63.02,61.49,69.37,45.34,45.61,77.22
20250225,43.94,78.14,61.33,32.09,63.66,61.79,69.31,45.15,45.91,76
20250226,43.94,79.07,56.9,31.98,63.86,61.7,68.91,45.34,45.75,76.45
20250227,44.12,78.87,58.19,32.01,64.48,59.75,69.25,45.71,46.28,76.62
20250228,46.1,79.95,58.16,32.01,65.72,60.12,71.12,46.35,46.9,78.32
20250303,45.56,77.17,58.59,31.93,64.9,58.45,72.2,45.43,46.24,77.03
20250304,42.67,72.35,57.87,31.2,64.21,54.69,69.89,43.76,44.61,73.3
20250305,42.29,72.96,59,30.92,65.95,56.77,69.66,43.11,44.67,74.16
20250306,41.46,70.58,59.45,30.93,65.25,54.96,70.39,42.24,44.38,72.65
20250307,41.4,70.46,60.03,31.26,66.33,53.28,71.27,42.19,44.72,71.05
20250310,39.83,67.41,59.44,30.65,65.23,50.33,71.27,40.37,42.37,66.78
20250311,39.61,67.5,58.57,29.52,64.98,46.68,68.12,39.91,41.56,67.28
20250312,39.91,67.95,58.45,29.55,64.84,45.3,68.12,39.84,41.68,68.93
20250313,39.67,67.23,57.96,29.13,65.75,43.92,69.75,39.48,40.92,68.46
20250314,40.89,68.78,58.19,30.01,65.68,46.75,70.89,40.55,42.02,70.85
20250317,41.44,69.94,59.24,30.33,66.65,46.89,72.26,41.05,42.18,70.84
20250318,41.65,70.22,59.66,30.26,67.57,45.92,73.29,40.85,42.28,71.11
20250319,42.21,71.44,59.23,30.07,67.91,47.75,74.33,41.27,42.68,72.76
20250320,42.48,71.82,59.62,29.98,68.64,46.95,74.41,41.33,42.61,72.52
20250321,42.47,71.98,58.9,29.57,67.05,46.77,73.35,41.42,42.84,72.52
20250324,43.07,74.04,59.34,29.85,67.57,48.88,74.29,42.15,43.76,74.28
20250325,43.28,74.47,58.94,29.53,66.48,48.67,74.17,42,43.7,74.24
20250326,42.82,73.24,60.54,29.9,67.2,48.07,74.58,41.98,43.77,73.47
20250327,42.56,71.85,60.23,29.92,67.59,46.15,75.07,41.4,43.23,72.28
